url,text
https://www.gov.uk/business-support-helpline,Get help and support for your business - GOV.UK Skip to main content GOV.UK uses cookies to make the site simpler. Find out more about cookies GOV.UK Search Search Home Business and self-employed Business finance and support Get help and support for your business Your business can get advice and financial help from government-backed schemes. Enter your details and select the type of support you need. You can also get: help with tax regional help with exporting advice on writing a business plan If you’re unemployed or on benefits you may be able to get extra help through your Jobcentre Plus work coach. England You can contact the government’s Business Support Helpline for free advice. You can also find free support advice and sources of finance through your local ‘growth hub’. Business Support Helpline (England) Telephone: 0300 456 3565 Textphone: 0191 581 0052 enquiries@businesssupporthelpline.org Monday to Friday 9am to 6pm Find out about call charges The Business Support Helpline for England is also on: web chat Twitter Facebook YouTube Scotland Get free advice from Business Gateway online or over the phone. Business Gateway (Scotland) Telephone: 0300 013 4753 Textphone: 0800 023 2071 Monday to Friday 8am to 6pm Find out about call charges Wales Get help with your business online or by calling the Business Wales Helpline. Business Wales Helpline Telephone: 0300 060 3000 Monday to Friday 8:30am to 5:30pm Find out about call charges Northern Ireland Find advice and support for starting a business. You can also contact the Invest Northern Ireland helpline. Invest Northern Ireland Telephone: 0800 181 4422 Monday to Friday 8:30am to 5pm Find out about call charges Business and self-employed Set up a business More in Business and self-employed Elsewhere on GOV.UK Venture capital schemes: raise money by offering tax reliefs to investors Elsewhere on the web The business finance guide Find funding with Better Business Finance Start Up Loans Help us improve GOV.UK Don’t include personal or financial information like your National Insurance number or credit card details. What you were doing What went wrong Send Services and information Benefits Births deaths marriages and care Business and self-employed Childcare and parenting Citizenship and living in the UK Crime justice and the law Disabled people Driving and transport Education and learning Employing people Environment and countryside Housing and local services Money and tax Passports travel and living abroad Visas and immigration Working jobs and pensions Departments and policy How government works Departments Worldwide Policies Publications Announcements Support links Help Cookies Contact Terms and conditions Rhestr o Wasanaethau Cymraeg Built by the Government Digital Service Open Government Licence All content is available under the Open Government Licence v3.0 except where otherwise stated © Crown copyright
https://www.gov.uk/claim-rural-payments,Make or update a rural payments claim - GOV.UK Skip to main content GOV.UK uses cookies to make the site simpler. Find out more about cookies GOV.UK Search Search Home Business and self-employed Farming business Make or update a rural payments claim Sign in to make a rural payments claim or update your details. You can register if you don’t already have an account. You can use the service to: apply for rural grants and payments including the Basic Payment Scheme (BPS) update your personal and business details check and update digital maps of your registered land give someone permission to act on your behalf Start now Before you start There are different schemes in Scotland Northern Ireland and Wales. Last updated: 20 June 2017 Elsewhere on GOV.UK Basic Payment Scheme (BPS) BPS 2017 Help us improve GOV.UK Don’t include personal or financial information like your National Insurance number or credit card details. What you were doing What went wrong Send Services and information Benefits Births deaths marriages and care Business and self-employed Childcare and parenting Citizenship and living in the UK Crime justice and the law Disabled people Driving and transport Education and learning Employing people Environment and countryside Housing and local services Money and tax Passports travel and living abroad Visas and immigration Working jobs and pensions Departments and policy How government works Departments Worldwide Policies Publications Announcements Support links Help Cookies Contact Terms and conditions Rhestr o Wasanaethau Cymraeg Built by the Government Digital Service Open Government Licence All content is available under the Open Government Licence v3.0 except where otherwise stated © Crown copyright
https://www.gov.uk/cattle-tracing-online,Use Cattle Tracing System (CTS) Online - GOV.UK Skip to main content GOV.UK uses cookies to make the site simpler. Find out more about cookies GOV.UK Search Search Home Business and self-employed Farming business Use Cattle Tracing System (CTS) Online Register cattle births and report cattle deaths and movements. See details of your herd and individual animals and make sure your records match those on CTS Online. Start now on the BCMS website Before you start New users will need to register. Getting help Read the CTS Online user guides. You can also contact the British Cattle Movement Service (BCMS) Helpline. BCMS Helpline ctsonline@bcms.rpa.gsi.gov.uk 0345 050 1234 Monday to Friday 8:30am to 5pm Find out about call charges Cross compliance These standards are part of cross compliance. You must meet them to get your farming subsidy under the Single Payment Scheme. Last updated: 20 June 2017 Business and self-employed Electronic licence to report pig movements More in Business and self-employed Elsewhere on GOV.UK Manage your Single Payment Scheme online Help us improve GOV.UK Don’t include personal or financial information like your National Insurance number or credit card details. What you were doing What went wrong Send Services and information Benefits Births deaths marriages and care Business and self-employed Childcare and parenting Citizenship and living in the UK Crime justice and the law Disabled people Driving and transport Education and learning Employing people Environment and countryside Housing and local services Money and tax Passports travel and living abroad Visas and immigration Working jobs and pensions Departments and policy How government works Departments Worldwide Policies Publications Announcements Support links Help Cookies Contact Terms and conditions Rhestr o Wasanaethau Cymraeg Built by the Government Digital Service Open Government Licence All content is available under the Open Government Licence v3.0 except where otherwise stated © Crown copyright
https://www.gov.uk/agricultural-sick-pay,Agricultural Sick Pay - GOV.UK Skip to main content GOV.UK uses cookies to make the site simpler. Find out more about cookies GOV.UK Search Search Home Working jobs and pensions Holidays time off sick leave maternity and paternity leave Agricultural Sick Pay Overview What you'll get Eligibility How to claim Further information 1. Overview Agricultural Sick Pay (ASP) means you’re paid at least the Agricultural Minimum Wage when you’re off work sick. It includes any Statutory Sick Pay you might be entitled to. There are different rules for Agricultural Sick Pay in Scotland. Next What you'll get Print entire guide Holidays time off sick leave maternity and paternity leave Statutory Sick Pay (SSP) More in Holidays time off sick leave maternity and paternity leave Working jobs and pensions Agricultural workers' rights More in Working jobs and pensions Elsewhere on GOV.UK Employment and Support Allowance (ESA) Help us improve GOV.UK Don’t include personal or financial information like your National Insurance number or credit card details. What you were doing What went wrong Send Services and information Benefits Births deaths marriages and care Business and self-employed Childcare and parenting Citizenship and living in the UK Crime justice and the law Disabled people Driving and transport Education and learning Employing people Environment and countryside Housing and local services Money and tax Passports travel and living abroad Visas and immigration Working jobs and pensions Departments and policy How government works Departments Worldwide Policies Publications Announcements Support links Help Cookies Contact Terms and conditions Rhestr o Wasanaethau Cymraeg Built by the Government Digital Service Open Government Licence All content is available under the Open Government Licence v3.0 except where otherwise stated © Crown copyright
https://www.gov.uk/calculate-agricultural-holiday-entitlement,Calculate your agricultural worker holiday entitlement - GOV.UK Skip to main content GOV.UK uses cookies to make the site simpler. Find out more about cookies GOV.UK Search Search Home Working jobs and pensions Holidays time off sick leave maternity and paternity leave Calculate your agricultural worker holiday entitlement Work out how much statutory holiday leave you’re entitled to as an agricultural worker. Agricultural holiday entitlement is different in Scotland and Northern Ireland. Start now Last updated: 30 June 2017 Holidays time off sick leave maternity and paternity leave Holiday entitlement More in Holidays time off sick leave maternity and paternity leave Working jobs and pensions Agricultural workers' rights More in Working jobs and pensions Help us improve GOV.UK Don’t include personal or financial information like your National Insurance number or credit card details. What you were doing What went wrong Send Services and information Benefits Births deaths marriages and care Business and self-employed Childcare and parenting Citizenship and living in the UK Crime justice and the law Disabled people Driving and transport Education and learning Employing people Environment and countryside Housing and local services Money and tax Passports travel and living abroad Visas and immigration Working jobs and pensions Departments and policy How government works Departments Worldwide Policies Publications Announcements Support links Help Cookies Contact Terms and conditions Rhestr o Wasanaethau Cymraeg Built by the Government Digital Service Open Government Licence All content is available under the Open Government Licence v3.0 except where otherwise stated © Crown copyright
https://www.gov.uk/planning-permissions-for-farms,Planning permission for farms - GOV.UK Skip to main content GOV.UK uses cookies to make the site simpler. Find out more about cookies GOV.UK Search Search Home Business and self-employed Farming business Planning permission for farms When you need it When you don’t need it Apply for planning permission Permitted development Appeals 1. When you need it Farms are covered by the same planning regulations as other types of property. Some planning rules include special conditions for agricultural buildings and land. You need planning permission if: you want to change how you use your land or buildings from farming to something else you want to build a house on the land You will also usually need planning permission if you are applying for a grant to fund a project that needs a building or other development. Next When you don’t need it Print entire guide Business and self-employed Planning permission More in Business and self-employed Help us improve GOV.UK Don’t include personal or financial information like your National Insurance number or credit card details. What you were doing What went wrong Send Services and information Benefits Births deaths marriages and care Business and self-employed Childcare and parenting Citizenship and living in the UK Crime justice and the law Disabled people Driving and transport Education and learning Employing people Environment and countryside Housing and local services Money and tax Passports travel and living abroad Visas and immigration Working jobs and pensions Departments and policy How government works Departments Worldwide Policies Publications Announcements Support links Help Cookies Contact Terms and conditions Rhestr o Wasanaethau Cymraeg Built by the Government Digital Service Open Government Licence All content is available under the Open Government Licence v3.0 except where otherwise stated © Crown copyright
https://www.gov.uk/register-farm-vehicle,Register a farm vehicle - GOV.UK Skip to main content GOV.UK uses cookies to make the site simpler. Find out more about cookies GOV.UK Search Search Home Business and self-employed Farming business Register a farm vehicle Your farm vehicle must have the right approval to be registered with the Driver and Vehicle Licensing Agency (DVLA). To register and tax a new or used tractor you’ll need to send your registration documents and proof of approval to DVLA Swansea SA99 1BE. Registration documents To register new category T1 T2 and T3 tractors for the first time you’ll need to prove it has either: European Community Whole Vehicle Type Approval (ECWVTA) a Certificate of Conformity (CoC) issued by the manufacturer A CoC is only valid if the tractor has been assembled by someone acting under control of the manufacturer. To register new T4 and T5 category tractors or used tractors for the first time you’ll need to prove it has either a: CoC (if available) Health and Safety Executive (HSE) tractor cab certificate of approval Certificates of Approval Unless it already has ECWVTA the HSE issues certificates of approval for each type of tractor supplied in the UK. Vehicles that don’t have ECWVTA or a HSE certificate of approval can’t legally be sold used for work or on a public road in the UK. Contact the HSE for more information about tractor cab certificates of approval. Health and Safety Executive Telephone: 01604 738300 Find out about call charges Farming business Health and safety using farm vehicles and machinery More in Farming business Elsewhere on GOV.UK Vehicle registration Help us improve GOV.UK Don’t include personal or financial information like your National Insurance number or credit card details. What you were doing What went wrong Send Services and information Benefits Births deaths marriages and care Business and self-employed Childcare and parenting Citizenship and living in the UK Crime justice and the law Disabled people Driving and transport Education and learning Employing people Environment and countryside Housing and local services Money and tax Passports travel and living abroad Visas and immigration Working jobs and pensions Departments and policy How government works Departments Worldwide Policies Publications Announcements Support links Help Cookies Contact Terms and conditions Rhestr o Wasanaethau Cymraeg Built by the Government Digital Service Open Government Licence All content is available under the Open Government Licence v3.0 except where otherwise stated © Crown copyright
https://www.gov.uk/agricultural-skills-and-training,Agricultural skills and training - GOV.UK Skip to main content GOV.UK uses cookies to make the site simpler. Find out more about cookies GOV.UK Search Search Home Business and self-employed Farming business Agricultural skills and training Find training courses and qualifications through Lantra the UK’s ‘Sector Skills Council’ for agriculture and farming. Lantra provides information about: training and courses available - eg apprenticeships or vocational training qualifications funding options recognising skills as an employer Farming business Agricultural workers' rights More in Farming business Help us improve GOV.UK Don’t include personal or financial information like your National Insurance number or credit card details. What you were doing What went wrong Send Services and information Benefits Births deaths marriages and care Business and self-employed Childcare and parenting Citizenship and living in the UK Crime justice and the law Disabled people Driving and transport Education and learning Employing people Environment and countryside Housing and local services Money and tax Passports travel and living abroad Visas and immigration Working jobs and pensions Departments and policy How government works Departments Worldwide Policies Publications Announcements Support links Help Cookies Contact Terms and conditions Rhestr o Wasanaethau Cymraeg Built by the Government Digital Service Open Government Licence All content is available under the Open Government Licence v3.0 except where otherwise stated © Crown copyright
https://www.gov.uk/agricultural-workers-rights,Agricultural workers' rights - GOV.UK Skip to main content GOV.UK uses cookies to make the site simpler. Find out more about cookies GOV.UK Search Search Home Business and self-employed Farming business Agricultural workers' rights Overview What counts as an agricultural worker Pay and overtime Grades and categories Agricultural tenancies Gangmasters Changes to employment terms and conditions 1. Overview Agricultural workers in Wales and those employed in England before 1 October 2013 are normally entitled to: minimum rates of pay which may be higher than the National Minimum Wage paid holiday Agricultural Sick Pay pay even if bad weather stops work night work pay on-call allowance 30-minute rest breaks if they are 18 or over and work more than 5.5 hours a day There are different employment rights for agricultural workers employed in England from 1 October 2013. There are also different rules for agricultural workers’ rights in Scotland and Northern Ireland. Terms and conditions England Agricultural workers in England employed before 1 October 2013 still have the terms and conditions set out in the Agricultural Wages(England and Wales) Order 2012. Wales Before starting work employers must give agricultural workers in Wales an Agricultural Wage Order. This sets out many of the terms and conditions of employment. But employers must still give agricultural workers a written statement of employment particulars. This sets out many of the terms and conditions of employment. However agricultural workers must still be given a written statement of employment particulars by their employer. Trainees Trainees have different rights eg they don’t get paid holidays. Help and advice If you were employed in England before 1 October 2013 you can contact the Acas helpline or use the Acas Helpline Online to get further advice. You can also make a complaint to the Rural Payments agency. For queries about wages and rights in Wales after 1 October 2013 contact the Sustainable Land Management Branch. Sustainable Land Management Branch SLMenquiries@wales.gsi.gov.uk 0300 062 2298 Sustainable Land Management Branch Welsh government Rhodfa Padarn Llanbadarn Fawr Aberystwyth Ceredigion SY23 3UR Next What counts as an agricultural worker Print entire guide Farming business Agricultural Sick Pay More in Farming business Elsewhere on GOV.UK National Minimum Wage and National Living Wage rates Help us improve GOV.UK Don’t include personal or financial information like your National Insurance number or credit card details. What you were doing What went wrong Send Services and information Benefits Births deaths marriages and care Business and self-employed Childcare and parenting Citizenship and living in the UK Crime justice and the law Disabled people Driving and transport Education and learning Employing people Environment and countryside Housing and local services Money and tax Passports travel and living abroad Visas and immigration Working jobs and pensions Departments and policy How government works Departments Worldwide Policies Publications Announcements Support links Help Cookies Contact Terms and conditions Rhestr o Wasanaethau Cymraeg Built by the Government Digital Service Open Government Licence All content is available under the Open Government Licence v3.0 except where otherwise stated © Crown copyright
https://www.gov.uk/agricultural-survey,June survey of agriculture and horticulture - GOV.UK Skip to main content GOV.UK uses cookies to make the site simpler. Find out more about cookies GOV.UK Search Search Home Business and self-employed Farming business June survey of agriculture and horticulture You must complete Defra’s June agricultural survey if you’re selected and you live in England. You’ll get an email request or a survey form in the post in late May or early June. You’ll need to supply information about the land crops livestock and workers on your farm. Start now Before you start Contact the Defra Surveys Team if you’re having problems accessing the survey or if you have any queries about agricultural surveys. Defra Surveys Team surveys@defra.gsi.gov.uk 020 8026 6532 Monday to Friday 9am to 4:30pm Find out about call charges Scotland Wales and Northern Ireland You’ll have to complete a different survey if you live outside of England. You’ll be contacted by the Scottish Government Welsh Government or the Department for Agricultural and Rural Development in Northern Ireland if you need to complete a survey. Last updated: 20 June 2017 Farming business Soil Protection Review More in Farming business Help us improve GOV.UK Don’t include personal or financial information like your National Insurance number or credit card details. What you were doing What went wrong Send Services and information Benefits Births deaths marriages and care Business and self-employed Childcare and parenting Citizenship and living in the UK Crime justice and the law Disabled people Driving and transport Education and learning Employing people Environment and countryside Housing and local services Money and tax Passports travel and living abroad Visas and immigration Working jobs and pensions Departments and policy How government works Departments Worldwide Policies Publications Announcements Support links Help Cookies Contact Terms and conditions Rhestr o Wasanaethau Cymraeg Built by the Government Digital Service Open Government Licence All content is available under the Open Government Licence v3.0 except where otherwise stated © Crown copyright
